Timestamp,Latitude,Longitude,Road ID,Speed (km/h),Traffic Flow,Vehicle Count,Weather Conditions,Incident Reports,Day of Week,Hour of Day
08-09-2024 12:00,44.66346224,-119.1664395,R1,48.54830274,Light,272,Rain,Construction,Saturday,12
08-09-2024 13:00,34.83610743,-58.76139842,R1,71.96499107,Light,914,Clear,Construction,Sunday,13
08-09-2024 14:00,44.93580733,-69.95242072,R3,15.2374236,Light,1272,Clear,Construction,Monday,14
08-09-2024 15:00,37.06943423,-93.36927352,R6,92.36923549,Heavy,179,Clear,Construction,Tuesday,15
08-09-2024 16:00,35.17092867,-105.6281425,R7,49.81170068,Light,985,Cloudy,Accident Reported,Wednesday,16
08-09-2024 17:00,51.07993967,-79.51994095,R6,31.58086232,Heavy,1336,Cloudy,None,Thursday,17
08-09-2024 18:00,51.3813766,-6.945126501,R6,18.44859611,Medium,302,Rain,Construction,Friday,18
08-09-2024 19:00,48.55115227,-81.24796845,R6,26.45793974,Heavy,863,Clear,Construction,Saturday,19
08-09-2024 20:00,39.48304785,-57.79700445,R3,94.11525976,Heavy,1352,Clear,Construction,Sunday,20
08-09-2024 21:00,35.75809805,-35.70802683,R6,67.44435345,Medium,1350,Cloudy,None,Monday,21
08-09-2024 22:00,46.31619448,-76.40081067,R8,56.50266317,Heavy,146,Clear,Accident Reported,Tuesday,22
08-09-2024 23:00,41.92274489,-3.483328282,R2,69.14001957,Light,1356,Cloudy,None,Wednesday,23
09-09-2024 00:00,36.19668823,-4.602569336,R5,49.21056088,Light,1428,Clear,Accident Reported,Thursday,24
09-09-2024 01:00,42.91318438,-89.81130273,R1,75.70353849,Heavy,1266,Rain,Construction,Friday,25
09-09-2024 02:00,34.61899338,-60.37990414,R1,14.29445149,Light,1496,Clear,Construction,Saturday,26
09-09-2024 03:00,50.36776724,-83.92469065,R5,60.94334894,Heavy,1382,Clear,None,Sunday,27
09-09-2024 04:00,38.65803967,-85.84762472,R3,24.27818029,Light,755,Fog,None,Monday,28
09-09-2024 05:00,45.92540112,-115.577255,R4,20.8148183,Light,570,Cloudy,Accident Reported,Tuesday,29
09-09-2024 06:00,39.61079937,-46.91323636,R3,40.76917,Heavy,1070,Clear,Accident Reported,Wednesday,30
09-09-2024 07:00,43.36122438,-59.72878511,R1,18.26191592,Light,1135,Clear,None,Thursday,31
09-09-2024 08:00,43.84078503,-113.8276977,R1,18.47412894,Heavy,1453,Fog,Accident Reported,Friday,8
09-09-2024 09:00,37.3273802,-86.59028894,R5,38.02719785,Light,835,Fog,None,Saturday,9
09-09-2024 10:00,51.4525233,-11.09892027,R6,98.15594758,Light,883,Cloudy,Accident Reported,Sunday,10
09-09-2024 11:00,47.95239082,-91.27652931,R3,25.77972429,Medium,1067,Fog,None,Monday,11
09-09-2024 12:00,50.91098095,-102.6271048,R9,11.54449916,Medium,457,Rain,None,Tuesday,12
09-09-2024 13:00,50.10689231,-61.31461404,R5,78.70279807,Heavy,1071,Fog,None,Wednesday,13
09-09-2024 14:00,44.76219962,-1.820510552,R8,82.62216793,Medium,767,Rain,Accident Reported,Thursday,14
09-09-2024 15:00,50.59373623,-90.97757295,R1,41.1673889,Heavy,472,Cloudy,Accident Reported,Friday,15
09-09-2024 16:00,35.59286504,-39.41094787,R5,51.82064316,Medium,1131,Cloudy,Accident Reported,Saturday,16
09-09-2024 17:00,37.52769152,-28.68180812,R3,68.47963144,Light,1245,Cloudy,None,Sunday,17
09-09-2024 18:00,34.8140912,-91.50725848,R1,14.32530318,Heavy,1471,Cloudy,Accident Reported,Monday,18
09-09-2024 19:00,39.85594595,-32.6868598,R4,95.42311584,Heavy,775,Cloudy,Accident Reported,Tuesday,19
09-09-2024 20:00,40.99619121,-75.90280239,R5,89.80123486,Light,189,Rain,None,Wednesday,20
09-09-2024 21:00,38.88428257,-44.18653091,R7,33.4804261,Heavy,797,Rain,Construction,Thursday,21
09-09-2024 22:00,48.91727516,-44.03978768,R1,11.37740863,Heavy,1439,Cloudy,None,Friday,22
09-09-2024 23:00,40.42155988,-55.76061538,R3,94.00926773,Medium,1301,Fog,Accident Reported,Saturday,23
10-09-2024 00:00,39.05682117,-109.1742566,R2,55.09358955,Heavy,639,Clear,None,Sunday,24
10-09-2024 01:00,43.7685295,-19.84723078,R9,58.54397036,Light,831,Cloudy,Construction,Monday,25
10-09-2024 02:00,36.53663605,-81.53847021,R6,71.55673925,Medium,968,Fog,None,Tuesday,26
10-09-2024 03:00,48.43954565,-97.6364306,R3,65.4266048,Medium,140,Clear,Accident Reported,Wednesday,27
10-09-2024 04:00,35.34191159,-115.1110605,R8,94.95024441,Light,839,Cloudy,Construction,Thursday,28
10-09-2024 05:00,51.76396486,-49.15193611,R8,94.98264374,Light,601,Cloudy,Accident Reported,Friday,29
10-09-2024 06:00,47.90040585,-38.76003302,R2,88.04790402,Medium,1058,Rain,Construction,Saturday,30
10-09-2024 07:00,37.57688227,-118.0111193,R6,67.27632377,Heavy,1268,Clear,Construction,Sunday,31
10-09-2024 08:00,34.09939811,-58.60004231,R7,82.08543652,Medium,1324,Clear,None,Monday,8
10-09-2024 09:00,48.67830571,-92.84315655,R2,70.94515081,Light,1028,Fog,None,Tuesday,9
10-09-2024 10:00,46.72343219,-42.64378243,R2,61.60303375,Medium,560,Rain,Accident Reported,Wednesday,10
10-09-2024 11:00,47.12212902,-99.09346516,R1,21.56503179,Light,831,Rain,None,Thursday,11
10-09-2024 12:00,47.88286624,-37.1565652,R8,83.00837591,Medium,851,Rain,None,Friday,12
10-09-2024 13:00,35.33280373,-73.63043198,R1,83.85755282,Heavy,1024,Rain,Construction,Saturday,13
10-09-2024 14:00,40.45238311,-7.68607435,R9,66.33457031,Medium,1008,Clear,None,Sunday,14
10-09-2024 15:00,36.08564307,-103.5112388,R6,83.83841594,Medium,1376,Clear,Construction,Monday,15
10-09-2024 16:00,49.53586167,-79.10614451,R7,68.63362947,Light,489,Cloudy,Construction,Tuesday,16
10-09-2024 17:00,45.21936628,-106.3945248,R7,28.60159239,Light,982,Cloudy,Construction,Wednesday,17
10-09-2024 18:00,39.95616445,-9.129235168,R3,34.65650146,Light,355,Rain,Accident Reported,Thursday,18
10-09-2024 19:00,35.14405031,-14.80701153,R2,29.31302077,Medium,808,Rain,Accident Reported,Friday,19
10-09-2024 20:00,39.59768179,-89.07279884,R9,43.95331749,Heavy,549,Rain,Accident Reported,Saturday,20
10-09-2024 21:00,39.8532998,-40.86791288,R8,13.50668191,Light,109,Cloudy,Construction,Sunday,21
10-09-2024 22:00,47.13291121,-22.0150582,R7,65.64284959,Light,923,Fog,Accident Reported,Monday,22
10-09-2024 23:00,45.47603448,-53.43142269,R9,40.28987934,Medium,897,Fog,Accident Reported,Tuesday,23
11-09-2024 00:00,49.96982937,-56.49489566,R4,69.01503718,Light,1365,Cloudy,None,Wednesday,24
11-09-2024 01:00,42.49986865,-91.00191032,R4,44.68569589,Heavy,1374,Cloudy,Accident Reported,Thursday,25
11-09-2024 02:00,36.15269643,-108.8369781,R1,71.34523021,Heavy,976,Cloudy,Accident Reported,Friday,26
11-09-2024 03:00,46.83840617,-12.42383062,R8,40.65621125,Light,1128,Cloudy,Construction,Saturday,27
11-09-2024 04:00,47.69413088,-12.03987495,R3,33.46250754,Light,1242,Cloudy,Construction,Sunday,28
11-09-2024 05:00,44.10298956,-44.09113527,R7,54.64337089,Medium,1115,Cloudy,Construction,Monday,29
11-09-2024 06:00,47.87740924,-79.35032805,R2,72.36013228,Heavy,473,Rain,Construction,Tuesday,30
11-09-2024 07:00,42.88832073,-78.129772,R2,41.3502944,Heavy,1188,Rain,Construction,Wednesday,31
11-09-2024 08:00,43.40919093,-32.9579141,R7,94.29833367,Light,245,Rain,Construction,Thursday,8
11-09-2024 09:00,41.69573833,-12.43647983,R6,13.5267694,Medium,323,Rain,Accident Reported,Friday,9
11-09-2024 10:00,34.45754428,-13.63833773,R3,47.61514285,Heavy,1362,Cloudy,Construction,Saturday,10
11-09-2024 11:00,35.94204569,-26.49292205,R9,97.08224964,Heavy,276,Fog,Construction,Sunday,11
